campaign_id,campaign_type,target_audience,duration,platform,impressions,clicks,leads,conversions,revenue,ad_spend,roi,language,engagement_score,customer_segment,date,ctr,cpc,cpa,roas
NY-CMP-1010,SEO,Working Women,5,"Google, Instagram",59141,1556,580,221,121550,357.66,0.54,Hindi,3.99,Working Women,26-10-2024,0.02631000490353562,0.22985861182519282,1.618371040723982,339.8479002404518
NY-CMP-1011,SEO,Youth,7,"Facebook, YouTube",39696,5623,1136,661,286874,163.52,1.65,Hindi,18.69,Premium Shoppers,21-12-2024,0.1416515517936316,0.029080561977592033,0.24738275340393345,1754.3664383561643
NY-CMP-1012,Email,Youth,29,"Email, Instagram, Facebook",20080,570,258,183,128466,462.62,0.52,Bengali,5.03,Working Women,30-09-2024,0.02838645418326693,0.8116140350877193,2.5279781420765026,277.69227443690284
NY-CMP-1013,SEO,Youth,14,Email,96303,3749,1785,940,441800,282.05,0.67,Tamil,6.72,Premium Shoppers,29-10-2024,0.038929213004786974,0.07523339557215258,0.3000531914893617,1566.3889381315369
NY-CMP-1014,Paid Ads,Premium Shoppers,5,Instagram,38072,2591,1542,769,240697,369.75,-0.15,Bengali,12.88,College Students,06-07-2024,0.06805526371086362,0.1427055191045928,0.48081924577373214,650.972278566599
NY-CMP-1015,Paid Ads,Working Women,23,"Facebook, Instagram, Email",28714,1511,441,158,33654,1648.61,-0.87,Hindi,7.35,Premium Shoppers,06-10-2024,0.05262241415337466,1.0910721376571806,10.434240506329113,20.413560514615344
NY-CMP-1016,SEO,College Students,27,WhatsApp,73474,4886,2344,1055,263750,272.28,-0.08,English,11.28,College Students,18-12-2024,0.06649971418460952,0.0557265656979124,0.258085308056872,968.6719553400911
NY-CMP-1017,Paid Ads,Premium Shoppers,28,"Google, YouTube, Instagram",57060,1659,928,346,187186,448.86,0.21,Hindi,5.14,Premium Shoppers,19-04-2025,0.02907465825446898,0.2705605786618445,1.2972832369942198,417.02535311678474
NY-CMP-1018,SEO,Tier 2 City Customers,7,WhatsApp,49784,1510,594,440,261800,115.42,4.16,Tamil,5.11,Working Women,18-01-2025,0.030331030049815202,0.07643708609271524,0.26231818181818184,2268.2377404262693
NY-CMP-1019,Paid Ads,College Students,21,Instagram,55317,7847,1736,1079,715377,174.65,2.8,English,19.27,Tier 2 City Customers,16-02-2025,0.14185512591066038,0.02225691347011597,0.16186283595922152,4096.0606928142
NY-CMP-1020,Paid Ads,Premium Shoppers,27,"Google, YouTube",10678,1217,524,163,111981,1124.19,-0.39,Bengali,17.83,Youth,27-08-2024,0.11397265405506649,0.9237387017255547,6.896871165644172,99.61038614469084
NY-CMP-1021,SEO,Working Women,22,"Instagram, YouTube, Google",27990,3508,761,385,155540,516.25,-0.22,Hindi,16.63,Youth,30-01-2025,0.12533047516970347,0.1471636259977195,1.3409090909090908,301.2881355932203
NY-CMP-1022,Email,Working Women,9,"WhatsApp, YouTube",74423,3139,1622,1149,629652,89.52,5.12,Bengali,7.94,Premium Shoppers,03-02-2025,0.04217782137242519,0.028518636508442177,0.077911227154047,7033.646112600536
NY-CMP-1023,SEO,Working Women,9,"Google, Email, WhatsApp",77708,4985,1363,916,632040,120.36,4.73,Bengali,9.35,Tier 2 City Customers,07-05-2025,0.06415040922427549,0.0241444332998997,0.13139737991266376,5251.246261216351
NY-CMP-1024,SEO,Working Women,21,"YouTube, Facebook",89970,10679,4140,3003,1537536,69.87,6.33,English,19.81,Working Women,10-03-2025,0.11869512059575414,0.0065427474482629465,0.02326673326673327,22005.667668527265
NY-CMP-1025,SEO,Working Women,25,"Google, Facebook",96295,8911,2116,872,441232,148.17,2.41,Hindi,12.36,Tier 2 City Customers,17-11-2024,0.09253855340360351,0.016627763438446862,0.16991972477064218,2977.8767631774317
NY-CMP-1026,Influencer,Working Women,29,"Google, Instagram, WhatsApp",59234,4994,1531,892,226568,270.76,-0.06,Tamil,12.52,College Students,16-10-2024,0.08430968700408549,0.05421706047256708,0.30354260089686097,836.7853449549417
NY-CMP-1027,Social Media,Working Women,15,YouTube,74702,10110,5298,2481,1220652,49.62,8.91,Tamil,23.95,Premium Shoppers,10-02-2025,0.13533774196139328,0.004908011869436201,0.02,24600.0
NY-CMP-1028,Paid Ads,Youth,15,"Instagram, Google, YouTube",26353,3943,1879,746,458044,214.56,1.86,Tamil,24.92,College Students,30-03-2025,0.1496224338784958,0.05441541973116916,0.28761394101876675,2134.806114839672
NY-CMP-1029,Email,Youth,26,"WhatsApp, Instagram, Email",16978,1079,372,164,56908,1784.37,-0.81,English,9.51,Youth,24-07-2024,0.06355283307810107,1.653725671918443,10.88030487804878,31.892488665467365
NY-CMP-1030,SEO,College Students,18,YouTube,92924,9525,4340,2242,652422,27.28,9.67,English,17.33,Youth,17-03-2025,0.10250312082992553,0.0028640419947506563,0.01216770740410348,23915.762463343108
NY-CMP-1031,SEO,Working Women,7,"Email, Facebook, WhatsApp",96549,13114,3791,1202,366610,74.34,3.1,Hindi,18.75,Premium Shoppers,04-06-2025,0.1358274037017473,0.005668750953179808,0.061846921797004996,4931.53080441216
NY-CMP-1032,Social Media,Premium Shoppers,17,"Instagram, WhatsApp, Facebook",72628,6488,1923,1181,243286,231.17,-0.11,Tamil,13.21,Premium Shoppers,09-05-2025,0.08933193809550036,0.03563039457459926,0.19574089754445384,1052.4116451096595
NY-CMP-1033,Social Media,Youth,19,"WhatsApp, Google, YouTube",61270,3309,1588,582,346872,320.86,0.86,English,8.94,Youth,31-12-2024,0.05400685490452097,0.09696585071018435,0.5513058419243987,1081.0696253817864
NY-CMP-1034,SEO,College Students,22,"Email, Facebook, YouTube",29199,1719,704,274,101928,727.09,-0.49,Tamil,9.24,Working Women,05-07-2024,0.05887187917394431,0.42297265852239674,2.6536131386861315,140.1862217882243
NY-CMP-1035,Paid Ads,College Students,11,"Google, Facebook, WhatsApp",19637,478,236,173,108471,498.5,0.26,Tamil,4.52,Tier 2 City Customers,12-10-2024,0.024341803737841828,1.042887029288703,2.8815028901734103,217.59478435305917
NY-CMP-1036,Influencer,Premium Shoppers,19,"Facebook, Instagram, Email",23746,1503,747,458,101218,229.15,-0.04,Hindi,11.4,Tier 2 City Customers,07-12-2024,0.0632948707150678,0.15246174318030606,0.5003275109170305,441.7106698668994
NY-CMP-1037,Paid Ads,Tier 2 City Customers,6,"Facebook, YouTube, Email",53926,7219,1902,1105,339235,221.64,0.39,Bengali,18.96,Youth,18-10-2024,0.13386863479583133,0.030702313339797754,0.20057918552036197,1530.567587078145
NY-CMP-1038,Influencer,Premium Shoppers,6,Email,35806,2631,999,365,198925,362.79,0.5,English,11.16,Youth,22-03-2025,0.0734793051443892,0.13789053591790196,0.9939452054794521,548.3199647178808
NY-CMP-1039,Email,Premium Shoppers,6,"Facebook, YouTube, Instagram",31729,2418,773,403,207142,400.55,0.28,Bengali,11.33,Youth,21-10-2024,0.07620788553058716,0.16565343258891646,0.9939205955334988,517.1439271002372
NY-CMP-1040,Influencer,Premium Shoppers,29,Email,10338,864,412,299,127075,438.17,-0.03,English,15.24,Tier 2 City Customers,15-09-2024,0.08357515960533952,0.5071412037037037,1.4654515050167225,290.01300864961087
NY-CMP-1041,Paid Ads,Tier 2 City Customers,7,"Instagram, WhatsApp, Facebook",96095,12738,6327,2845,631590,56.36,2.94,Bengali,22.8,College Students,23-03-2025,0.132556324470576,0.004424556445281834,0.019810193321616872,11206.352022711142
NY-CMP-1042,Influencer,Premium Shoppers,7,"WhatsApp, YouTube, Instagram",96219,11237,5367,3599,910547,68.47,2.69,Hindi,21.0,Working Women,31-08-2024,0.11678566603269624,0.006093263326510634,0.019024729091414283,13298.481086607273
NY-CMP-1043,Influencer,Premium Shoppers,30,YouTube,37002,2753,979,780,371280,123.02,2.87,Tamil,12.19,College Students,29-05-2025,0.0744013837089887,0.04468579731202325,0.15771794871794872,3018.0458462038696
NY-CMP-1044,SEO,College Students,29,"Google, Instagram",65776,4977,1606,901,370311,74.44,4.52,Bengali,11.38,Tier 2 City Customers,26-04-2025,0.07566589637557772,0.014956801285915209,0.08261931187569367,4974.623858140784
NY-CMP-1045,Social Media,Tier 2 City Customers,12,WhatsApp,57520,3932,2101,1431,1027458,128.93,4.57,English,12.98,Premium Shoppers,24-08-2024,0.06835883171070932,0.03278992878942014,0.09009783368273935,7969.115023656247
NY-CMP-1046,Email,Working Women,24,"Facebook, WhatsApp, Google",52752,5831,3299,2095,509085,139.77,0.74,Bengali,21.28,Youth,05-08-2024,0.11053609341825903,0.023970159492368377,0.06671599045346062,3642.3052157115258
NY-CMP-1047,Social Media,College Students,5,YouTube,14944,1268,482,318,104304,319.84,0.03,Hindi,13.84,Working Women,02-04-2025,0.08485010706638116,0.25223974763406937,1.0057861635220124,326.11305652826417
NY-CMP-1048,Email,Youth,22,Instagram,53290,3905,1034,535,344540,131.77,3.89,Tamil,10.27,Working Women,22-08-2024,0.07327828860949522,0.03374391805377721,0.24629906542056076,2614.7074447901646
NY-CMP-1049,SEO,Working Women,14,Google,41687,2215,911,568,358408,277.67,1.27,English,8.86,Working Women,04-03-2025,0.0531340705735601,0.12535891647855532,0.48885563380281694,1290.7696186120213
NY-CMP-1050,Paid Ads,Working Women,30,"WhatsApp, Facebook",67932,9449,5194,3230,839800,33.28,6.81,English,26.31,Working Women,04-11-2024,0.13909497733027146,0.0035220658270716477,0.010303405572755418,25234.375
NY-CMP-1051,Email,Tier 2 City Customers,16,"Google, YouTube",78991,6551,3460,2657,810385,49.89,5.11,Hindi,16.04,Premium Shoppers,16-04-2025,0.0829334987530225,0.007615631201343306,0.018776815957847196,16243.435558228102
NY-CMP-1052,Social Media,Working Women,12,"Facebook, Instagram, WhatsApp",97822,5691,2022,1271,579576,210.15,1.17,Bengali,9.18,Premium Shoppers,15-11-2024,0.05817709717650426,0.03692672641012124,0.16534225019669552,2757.9157744468234
NY-CMP-1053,Email,Tier 2 City Customers,14,"YouTube, Facebook, Email",77985,6461,3033,1379,995638,180.5,3.0,English,13.94,Premium Shoppers,07-08-2024,0.08284926588446496,0.02793685188051385,0.130891950688905,5516.0
NY-CMP-1054,Paid Ads,Working Women,12,"Google, YouTube, Instagram",82079,2124,1057,472,232224,620.82,-0.21,Tamil,4.45,College Students,13-06-2025,0.025877508254242863,0.29228813559322037,1.3152966101694916,374.06011404271766
NY-CMP-1055,Paid Ads,Tier 2 City Customers,16,Instagram,66781,8932,3662,1790,721370,150.42,1.68,Bengali,21.54,Premium Shoppers,18-03-2025,0.13375061769066052,0.016840573219883564,0.08403351955307262,4795.705358330009
NY-CMP-1056,Influencer,Working Women,11,"Email, Facebook",72001,8840,2425,1271,846486,54.74,11.17,English,17.41,Tier 2 City Customers,27-07-2024,0.12277607255454785,0.006192307692307692,0.0430684500393391,15463.755937157472
NY-CMP-1057,Email,Youth,27,"WhatsApp, YouTube",43454,5590,1836,1046,343088,182.35,0.8,Hindi,19.5,Tier 2 City Customers,03-12-2024,0.12864178211441984,0.032620751341681575,0.17433078393881452,1881.4806690430491
NY-CMP-1058,Influencer,College Students,28,"Instagram, Google",24558,1700,671,326,235698,189.39,2.82,Tamil,10.98,Tier 2 City Customers,13-02-2025,0.06922387816597443,0.11140588235294117,0.5809509202453987,1244.5113258355775
NY-CMP-1059,Email,Tier 2 City Customers,12,"Instagram, Email, YouTube",51784,3169,1762,1042,803382,141.09,4.46,Bengali,11.53,Tier 2 City Customers,11-03-2025,0.061196508574076935,0.04452193120858315,0.13540307101727447,5694.110142462258
NY-CMP-1060,SEO,Tier 2 City Customers,12,"YouTube, Facebook, Google",61841,6086,2165,1542,1201218,38.2,19.39,Bengali,15.84,College Students,10-01-2025,0.09841367377629728,0.0062767006243838325,0.024773022049286643,31445.49738219895
NY-CMP-1061,SEO,Youth,5,Email,80683,2154,985,786,248376,244.18,0.29,Bengali,4.86,Youth,30-04-2025,0.026697073733004475,0.11336118848653667,0.3106615776081425,1017.1840445572938
NY-CMP-1062,Email,Premium Shoppers,20,"Facebook, Instagram",82701,4194,1345,869,323268,230.37,0.61,Bengali,7.75,Tier 2 City Customers,01-09-2024,0.05071280879312221,0.05492846924177396,0.2650978135788262,1403.2556322437817
NY-CMP-1063,SEO,Youth,8,WhatsApp,80457,9646,2336,1659,643692,125.03,2.1,Hindi,16.95,College Students,24-02-2025,0.11989012764582324,0.012961849471283433,0.07536467751657625,5148.300407902104
NY-CMP-1064,SEO,College Students,13,"YouTube, WhatsApp",34565,819,304,211,137150,1099.71,-0.41,Hindi,3.86,Youth,28-05-2025,0.02369448864458267,1.3427472527472528,5.211895734597157,124.71469751116203
NY-CMP-1065,Email,Working Women,25,"YouTube, Facebook, Google",41740,1039,561,322,154882,328.9,0.46,Tamil,4.6,Tier 2 City Customers,29-04-2025,0.02489218974604696,0.31655437921077956,1.0214285714285714,470.90909090909093
NY-CMP-1066,Social Media,College Students,29,"Instagram, Google",28052,1240,513,377,166634,221.3,1.0,Tamil,7.59,Tier 2 City Customers,17-08-2024,0.04420362184514473,0.17846774193548387,0.5870026525198939,752.9778581111613
NY-CMP-1067,Social Media,Youth,6,"WhatsApp, Facebook, YouTube",36769,2948,797,370,237170,576.24,0.11,Tamil,11.19,Premium Shoppers,06-02-2025,0.08017623541570344,0.19546811397557667,1.5574054054054054,411.5819797306678
NY-CMP-1068,Email,College Students,26,WhatsApp,59910,3712,1431,951,427950,303.73,0.48,English,10.17,Working Women,25-03-2025,0.061959606075780334,0.08182381465517242,0.3193796004206099,1408.9816613439568
NY-CMP-1069,Social Media,Working Women,20,"Google, WhatsApp",51907,1717,484,275,137225,316.3,0.58,English,4.77,Premium Shoppers,12-07-2024,0.03307839019785385,0.18421665695981362,1.1501818181818182,433.84445147012326
NY-CMP-1070,Email,Working Women,21,"Email, Instagram",54847,7764,3946,1326,502554,50.86,6.45,English,23.77,Tier 2 City Customers,26-03-2025,0.14155742337775995,0.00655074703760948,0.03835595776772247,9881.124655918207
NY-CMP-1071,Social Media,Working Women,11,Google,68542,8178,3828,1207,280024,179.89,0.29,Hindi,19.28,Tier 2 City Customers,23-12-2024,0.11931370546526217,0.021996820738566885,0.14903893951946975,1556.640168992162
NY-CMP-1072,Influencer,College Students,17,"Google, YouTube",73165,5735,2225,1582,1170680,143.08,4.17,Tamil,13.04,College Students,27-12-2024,0.07838447345042028,0.0249485614646905,0.09044247787610621,8181.996086105674
NY-CMP-1073,Email,Working Women,17,"Instagram, YouTube",26416,1545,401,226,68478,395.28,-0.23,Hindi,8.22,College Students,15-09-2024,0.05848728043609933,0.25584466019417473,1.7490265486725662,173.23922282938676
NY-CMP-1074,Email,Tier 2 City Customers,11,"WhatsApp, Email, Google",97611,7838,2476,1741,541451,164.53,0.89,Bengali,12.35,Working Women,29-08-2024,0.08029832703281392,0.020991324317427916,0.09450315910396324,3290.895277456999
NY-CMP-1075,Email,Premium Shoppers,29,YouTube,48871,6658,3972,2058,1636110,133.98,4.93,Bengali,25.96,Working Women,14-11-2024,0.1362362137054695,0.02012316010814058,0.06510204081632652,12211.598746081505
NY-CMP-1076,Influencer,Tier 2 City Customers,24,"Google, Facebook, Instagram",74794,6057,1939,1470,799680,100.41,4.42,English,12.66,Youth,07-07-2024,0.08098243174586196,0.016577513620604258,0.06830612244897959,7964.146997311025
NY-CMP-1077,Social Media,Premium Shoppers,13,"Instagram, YouTube, WhatsApp",37745,1091,361,114,45030,1000.73,-0.61,English,4.15,Working Women,23-02-2025,0.028904490661014703,0.9172593950504124,8.778333333333334,44.99715207898234
NY-CMP-1078,Email,Working Women,26,"Instagram, Facebook, Google",41410,905,449,156,75504,1252.69,-0.61,Bengali,3.65,Premium Shoppers,20-07-2024,0.021854624486838926,1.3841878453038674,8.030064102564102,60.27349144640733
NY-CMP-1079,Paid Ads,Premium Shoppers,17,"Instagram, Email, YouTube",30448,4531,1041,767,546871,315.83,1.26,Bengali,20.82,Premium Shoppers,28-08-2024,0.14881108775617446,0.06970425954535422,0.4117731421121251,1731.5359528860463
NY-CMP-1080,Email,Working Women,6,"Email, Google",79031,7614,1912,1166,719422,87.2,6.08,Bengali,13.53,Youth,09-03-2025,0.09634194176968532,0.011452587339112162,0.07478559176672385,8250.252293577982
NY-CMP-1081,Social Media,Youth,12,"Email, Instagram, WhatsApp",69794,3864,1627,923,318435,271.48,0.27,Hindi,9.19,Working Women,15-01-2025,0.055362925179814886,0.07025879917184265,0.2941278439869989,1172.9593340209224
NY-CMP-1082,Social Media,Tier 2 City Customers,11,Google,10613,1093,468,344,73272,693.71,-0.69,Hindi,17.95,Working Women,09-05-2025,0.10298690285498917,0.6346843549862763,2.0165988372093024,105.62338729440255
NY-CMP-1083,SEO,Youth,9,"WhatsApp, Facebook, Google",14824,1848,713,229,111294,542.97,-0.1,Hindi,18.82,Premium Shoppers,11-06-2025,0.12466270912034538,0.29381493506493506,2.371048034934498,204.9726504226753
NY-CMP-1084,Influencer,Tier 2 City Customers,22,WhatsApp,38900,4362,1416,1056,291456,212.22,0.3,Tamil,17.57,College Students,06-11-2024,0.11213367609254499,0.048651994497936724,0.20096590909090908,1373.3672603901612
NY-CMP-1085,Paid Ads,Youth,10,"Email, WhatsApp, Facebook",27040,1352,274,153,42075,460.92,-0.4,Hindi,6.58,Premium Shoppers,07-06-2025,0.05,0.3409171597633136,3.0125490196078433,91.28482166102577
NY-CMP-1086,Influencer,College Students,16,"Facebook, Instagram",45406,2768,1052,747,511695,321.69,1.13,Bengali,10.06,Youth,29-09-2024,0.060961106461701095,0.11621748554913294,0.4306425702811245,1590.6462743635177
NY-CMP-1087,Social Media,College Students,5,"Instagram, Google",48041,2478,1229,553,311892,511.7,0.1,English,8.87,College Students,20-06-2025,0.05158094127932391,0.20649717514124294,0.9253164556962025,609.5212038303694
NY-CMP-1088,Social Media,Working Women,30,"Instagram, Facebook, Email",84207,6175,1941,1352,461032,214.63,0.59,Bengali,11.24,Working Women,29-10-2024,0.07333119574382177,0.034757894736842106,0.15875,2148.031496062992
NY-CMP-1089,Social Media,Youth,16,"Google, WhatsApp",77548,1844,706,226,72772,1072.32,-0.7,Hindi,3.58,Tier 2 City Customers,27-08-2024,0.02377882085933873,0.5815184381778742,4.744778761061947,67.8640704267383
NY-CMP-1090,Email,Premium Shoppers,13,"Instagram, Email",76619,7278,3935,1746,790938,152.82,1.96,Tamil,16.91,Tier 2 City Customers,05-11-2024,0.09498949346767772,0.02099752679307502,0.08752577319587629,5175.618374558304
NY-CMP-1091,SEO,Tier 2 City Customers,21,YouTube,37600,2906,1624,1006,690116,253.33,1.71,English,14.72,Premium Shoppers,10-04-2025,0.0772872340425532,0.08717481073640744,0.25181908548707754,2724.1779497098646
NY-CMP-1092,Social Media,College Students,7,"WhatsApp, Instagram, Google",32302,1239,367,156,124800,1295.52,-0.38,Hindi,5.45,Tier 2 City Customers,12-04-2025,0.03835675809547397,1.0456174334140436,8.304615384615385,96.33197480548351
NY-CMP-1093,Email,Premium Shoppers,9,"Email, YouTube, WhatsApp",11042,459,189,96,60960,2660.53,-0.76,Hindi,6.74,Working Women,25-01-2025,0.041568556420938235,5.7963616557734206,27.713854166666668,22.912727915114655
NY-CMP-1094,Influencer,College Students,18,Google,12916,1058,269,84,23352,725.46,-0.62,Hindi,10.92,Working Women,05-08-2024,0.08191390523381852,0.6856899810964083,8.636428571428572,32.18923165991233
NY-CMP-1095,Paid Ads,Working Women,29,"Google, Facebook, Instagram",73403,7231,1683,766,311762,337.92,0.2,English,13.19,Youth,11-08-2024,0.09851096004250508,0.04673212557046052,0.4411488250652742,922.5911458333333
NY-CMP-1096,Paid Ads,Premium Shoppers,18,Instagram,71114,1814,870,350,232750,827.25,-0.2,Tamil,4.27,Youth,10-09-2024,0.025508338723739348,0.4560363836824697,2.3635714285714284,281.3538833484436
NY-CMP-1097,Email,Working Women,21,"Email, WhatsApp",96478,3700,1111,711,366876,282.59,0.83,Hindi,5.72,Working Women,23-11-2024,0.0383507120794378,0.07637567567567567,0.3974542897327707,1298.2625004423371
NY-CMP-1098,SEO,Working Women,21,Email,96239,3852,2172,1568,460992,110.5,1.66,English,7.89,Working Women,19-11-2024,0.040025353546898866,0.028686396677050884,0.07047193877551021,4171.873303167421
NY-CMP-1099,Paid Ads,Working Women,22,"Instagram, WhatsApp, Google",15712,2049,698,518,161616,185.06,0.69,English,20.78,Premium Shoppers,24-03-2025,0.13040987780040733,0.09031722791605662,0.35725868725868726,873.3167621312007
NY-CMP-1100,SEO,Tier 2 City Customers,5,"Email, Google, Facebook",65961,3729,1011,805,642390,117.32,5.8,Bengali,8.41,Tier 2 City Customers,08-01-2025,0.05653340610360668,0.03146151783319925,0.1457391304347826,5475.536992840096
NY-CMP-1101,Influencer,Working Women,24,"Google, Facebook",91963,9000,4091,1250,507500,150.39,1.7,Hindi,15.59,Youth,07-01-2025,0.09786544588584539,0.01671,0.12031199999999999,3374.5594786887427
NY-CMP-1102,Social Media,Tier 2 City Customers,10,"Email, Instagram, Facebook",41454,6034,2744,1271,441037,64.77,4.36,Tamil,24.24,Premium Shoppers,20-10-2024,0.14555893279297535,0.01073417301955585,0.05095987411487018,6809.278987185426
NY-CMP-1103,Paid Ads,Premium Shoppers,27,"Google, YouTube, WhatsApp",62808,3704,743,431,286615,207.69,2.2,Bengali,7.77,Working Women,21-03-2025,0.058973379187364665,0.05607181425485961,0.4818793503480278,1380.0134816312775
NY-CMP-1104,Social Media,College Students,16,WhatsApp,44568,5722,2794,2033,742045,119.14,2.06,Hindi,23.67,College Students,31-05-2025,0.12838808113444625,0.02082139112198532,0.05860304968027546,6228.344804431761
NY-CMP-1105,SEO,Premium Shoppers,23,"Email, WhatsApp",78393,10859,4614,2346,1381794,48.99,11.02,Bengali,22.73,Working Women,23-08-2024,0.13852002092023522,0.004511465144120085,0.02088235294117647,28205.6338028169
NY-CMP-1106,SEO,Youth,16,Google,36778,2873,976,338,240656,547.44,0.3,Hindi,11.38,Tier 2 City Customers,05-11-2024,0.0781173527652401,0.1905464671075531,1.6196449704142013,439.6025135174631
NY-CMP-1107,Influencer,Youth,19,Email,29254,3754,1868,942,399408,296.39,0.43,Tamil,22.44,Tier 2 City Customers,27-01-2025,0.12832433171532098,0.07895311667554608,0.31463906581740975,1347.5758291440332
NY-CMP-1108,SEO,Youth,13,"Facebook, Instagram, YouTube",16762,1911,519,285,180405,1018.44,-0.38,Hindi,16.2,Youth,20-11-2024,0.11400787495525594,0.5329356357927787,3.5734736842105264,177.1385648639095
NY-CMP-1109,Influencer,College Students,8,Facebook,30349,1590,535,416,143104,130.39,1.64,Bengali,8.37,Premium Shoppers,23-12-2024,0.052390523575735606,0.08200628930817609,0.3134375,1097.507477567298
NY-CMP-1110,Paid Ads,Working Women,6,"WhatsApp, Instagram, Google",93228,5488,2887,1070,739370,249.36,1.77,Bengali,10.13,College Students,29-04-2025,0.05886643497661647,0.04543731778425656,0.23304672897196263,2965.0705806865576
NY-CMP-1111,Influencer,College Students,16,Google,32725,917,353,262,133096,277.31,0.83,Bengali,4.68,Premium Shoppers,27-05-2025,0.028021390374331552,0.30241003271537625,1.0584351145038169,479.95384227038335
NY-CMP-1112,Social Media,Tier 2 City Customers,6,"Facebook, Google",37912,2193,1175,779,555427,69.68,9.23,Bengali,10.94,Working Women,19-06-2025,0.057844481958219035,0.03177382580939353,0.08944801026957638,7971.110792192881
NY-CMP-1113,Influencer,Youth,28,"WhatsApp, Facebook, Instagram",84684,6830,3006,2183,1403669,37.23,16.27,English,14.19,Working Women,13-09-2024,0.0806527797458788,0.005450951683748169,0.0170545121392579,37702.632285791035
NY-CMP-1114,Social Media,Tier 2 City Customers,27,"Facebook, Instagram, YouTube",51006,7110,2461,769,432178,298.91,0.88,Hindi,20.27,College Students,26-09-2024,0.13939536525114693,0.04204078762306611,0.3886996098829649,1445.846575892409
NY-CMP-1115,Influencer,Working Women,10,"WhatsApp, Facebook",71767,10510,5442,3276,1539720,60.15,6.81,Bengali,26.79,Working Women,10-05-2025,0.14644613819722158,0.005723120837297812,0.01836080586080586,25598.004987531174
NY-CMP-1116,Paid Ads,College Students,17,"WhatsApp, Facebook, YouTube",92095,9825,4595,2248,1717472,34.81,20.95,English,18.1,Working Women,23-08-2024,0.10668331614094143,0.0035430025445292623,0.015484875444839858,49338.46595805803
NY-CMP-1117,Paid Ads,Youth,20,Facebook,74063,6065,1600,687,324951,297.63,0.59,Hindi,11.28,College Students,15-12-2024,0.08188974251650621,0.04907337180544105,0.4332314410480349,1091.7951819373047
NY-CMP-1118,Social Media,Working Women,13,"Instagram, YouTube, Google",36974,3888,2249,752,407584,182.75,1.97,English,18.63,Premium Shoppers,18-10-2024,0.10515497376534862,0.04700360082304527,0.24301861702127658,2230.281805745554
NY-CMP-1119,Email,Premium Shoppers,15,YouTube,46818,3423,2031,1219,884994,154.12,3.71,Tamil,14.25,Youth,13-06-2025,0.0731129052928361,0.04502483201869705,0.12643150123051683,5742.239813132624
NY-CMP-1120,Influencer,Premium Shoppers,26,YouTube,80082,10026,2337,1352,913952,80.25,7.42,English,17.13,Tier 2 City Customers,17-11-2024,0.125196673409755,0.008004189108318372,0.05935650887573964,11388.809968847352
NY-CMP-1121,Email,Working Women,11,"Instagram, Facebook",18334,2001,1096,868,402752,165.01,1.81,Bengali,21.63,Premium Shoppers,09-01-2025,0.10914148576415403,0.08246376811594203,0.19010368663594468,2440.7732864674867
